127.0.0.1 - - [24/Apr/2025:23:07:39 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:44 +0200] "GET /bilboSKP/SalaEscape.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:44 +0200] "GET /bilboSKP/SalaEscape.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:44 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:44 +0200] "GET /bilboSKP/SalaEscape.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:44 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:46 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:46 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:46 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:47 +0200] "GET /bilboSKP/QuienesSomos.jsp HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:48 +0200] "GET /bilboSKP/Ayuda.jsp HTTP/1.1" 200 11489
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:49 +0200] "GET /bilboSKP/EscapeRooms.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:49 +0200] "GET /bilboSKP/styles/ruta/a/tu/imagen.jpg HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:50 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:50 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:50 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:50 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:51 +0200] "GET /bilboSKP/OrganizarPartida.jsp HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:52 +0200] "GET /bilboSKP/OrgPartida.jsp HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:54 +0200] "GET /bilboSKP/EditarPartida.jsp HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:56 +0200] "GET /bilboSKP/OrgPartida.jsp HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:07:58 +0200] "GET /bilboSKP/Registrar.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:00 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:00 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:00 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:00 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:01 +0200] "GET /bilboSKP/Registrar.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:02 +0200] "GET /bilboSKP/SolicitudEmail.jsp HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:03 +0200] "GET /bilboSKP/Registrar3.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:05 +0200] "GET /bilboSKP/SolicitudEmail.jsp HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:08 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:08 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:08 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:09 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:09 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:11 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:11 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:11 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:11 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:14 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:14 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:16 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:16 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:18 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:18 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:18 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:28 +0200] "GET /bilboSKP/Registrar.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:28 +0200] "GET /bilboSKP/Registrar3.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:30 +0200] "GET /bilboSKP/SolicitudEmail.jsp HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:31 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:31 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:31 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:31 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:33 +0200] "GET /bilboSKP/EscapeRooms.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:34 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:34 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:34 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:35 +0200] "GET /bilboSKP/OrganizarPartida.jsp HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:36 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:36 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:36 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:37 +0200] "GET /bilboSKP/Ayuda.jsp HTTP/1.1" 200 11489
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:38 +0200] "GET /bilboSKP/Ayuda.jsp HTTP/1.1" 200 11489
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:38 +0200] "GET /bilboSKP/QuienesSomos.jsp HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:39 +0200] "GET /bilboSKP/EscapeRooms.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:40 +0200] "GET /bilboSKP/Registrar.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:41 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:41 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:41 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:42 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:42 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:43 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:43 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:43 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:45 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:45 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:46 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:46 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:08:46 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:41 +0200] "GET /bilboSKP/Registrar.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:43 +0200] "GET /bilboSKP/SolicitudEmail.jsp HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:44 +0200] "GET /bilboSKP/Registrar3.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:46 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:46 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:46 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:47 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:47 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:49 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:49 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:49 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/img/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 200 21312
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/styles/style.css HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/img/fondod.png HTTP/1.1" 200 258481
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /favicon.ico HTTP/1.1" 404 698
